Brand,Product Name,Price (HKD),Image,Detail Image
2AN,Better Me Eye Palette,110,https://img.ssgdfs.com/upload/C00001/goos/org/001/240207000447001.jpg?SF=webp&AR=0,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202402/1707279681365.jpg?SF=webp
2AN,Heart Wearing Liquid Cheek,78,https://img.ssgdfs.com/upload/C00001/goos/org/921/260122001025921.jpg?SF=webp&AR=0,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260123/2026012310460918037f13aa5b15641f19b4c3b75288aa880.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
2AN,Pure Glassy Highlighter,68,https://img.ssgdfs.com/upload/C00001/goos/org/885/240626000563885.jpg?SF=webp&AR=0,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260515/202605151542245124e56914c204c43528f7a6166bccf88b7.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
2AN,Dual Cheek,95,https://img.ssgdfs.com/upload/C00001/goos/org/216/231020000363216.jpg?SF=webp&AR=0,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260515/20260515151421976eb3c0e059d8247faaa70ff43282eb3fd.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
2AN,Dewy Fit Tint,70,https://img.ssgdfs.com/upload/C00001/goos/org/845/260313001081845.jpg?SF=webp&AR=0,"details/C006_1.png,details/C006_2.png"
2AN,LONG WEARING FOUNDATION (RENEWAL) ,125,https://static.lottedfs.cn/prod/prd-img/57/73/32/01/00/02/20001327357_3.jpg/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20250531/202505311651083326b55636fdbff45648e0b4e6f78eb4430.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
2AN,GLAZE BOUNCING TINT,68,https://static.lottedfs.cn/prod/prd-img/00/19/35/01/00/02/20001351900_1.jpg/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20250731/20250731095355791934bfb724ece4aa9a01c3133e9a07e1a.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
2AN,Pocket Cotton Blurring Stick,88,https://image2.shilladfs.com/files/product2/2025/03/25/894011000088_20250325_14150571_12_894011000088_1.JPG,https://img.ssgdfs.com/upload/C00001/fckeditor/tempgoosdesc/202508/1754378928596.jpg?SF=webp
AMUSE,[MONCHHICHI LIMITED EDITION] AIRY PORE COVER CUSHION (NO REFILL),155,https://static.lottedfs.cn/prod/prd-img/40/95/41/01/00/02/20001419540_2.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260331/20260331170249463b082848fb48d4e96acb5a749f2c29e56.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
AMUSE,DEW JELLY MASTER CUSHION REFILL SPECIAL SET,155,https://static.lottedfs.cn/prod/prd-img/16/29/40/01/00/02/20001402916_2.webp/dims/resize/460x460,https://static.lottedfs.com/kr/product/proxy/src/https://static.lottedfs.com/contents/images/ckeditor-img/20260212/20260212134509535abdb8b5a362d4c268190b9114e021d13.jpg/dims/crop/0x8400+0+0/dims/crop/0x1200+0+0/format/webp/optimize
